order_id,user_id,order_product_id,order_date,is_discounted,is_canceled
C000001,A0588,B025,2022-06-11,0,0
C000002,A0819,B017,2022-11-15,0,0
C000003,A0262,B006,2022-12-12,0,0
C000004,A0770,B046,2022-01-21,0,0
C000005,A0788,B031,2022-02-03,0,0
C000006,A0619,B022,2022-06-26,0,0
C000007,A0708,B051,2022-06-06,0,0
C000008,A0770,B056,2022-04-12,0,0
C000009,A0622,B039,2022-07-23,0,0
C000010,,B056,2022-04-25,0,0
C000011,A0869,B009,2022-05-06,0,0
C000012,A0550,B022,2022-12-27,0,0
C000013,A0871,B013,2022-05-30,0,0
C000014,A0197,B019,2022-03-10,0,0
C000015,A0868,B020,2022-12-23,0,0
C000016,A0886,B007,2022-08-28,0,0
C000017,A0967,B023,2022-07-23,0,0
C000018,A0769,B032,2022-08-12,0,0
C000019,A0812,B033,2022-01-07,0,0
C000020,A0649,B006,2022-07-19,0,0
C000021,A0512,B019,2022-02-11,0,0
C000022,A0623,B056,2022-10-09,0,0
C000023,A0043,B018,2022-02-22,0,0
C000024,A0666,B018,2022-08-17,0,0
C000025,A0648,B022,2022-10-03,0,0
C000026,A0588,B001,2022-11-15,0,0
C000027,A0197,B024,2022-10-03,0,0
C000028,A0633,B001,2022-02-04,0,0
C000029,A0622,B014,2022-10-30,0,0
C000030,A0299,B046,2022-04-08,0,0
C000031,A0787,B019,2022-04-09,0,0
C000032,A0062,B035,2022-02-18,0,0
C000033,A0935,B039,2022-10-24,0,0
C000034,A0275,B033,2022-06-26,0,0
C000035,A0247,B023,2022-03-18,0,0
C000036,A0159,B016,2022-05-25,0,0
C000037,A0110,B025,2022-01-25,0,0
C000038,A0946,B056,2022-04-24,0,0
C000039,A0736,B039,2022-05-04,0,0
C000040,A0586,B017,2022-03-17,0,0
C000041,A0197,B022,2022-07-19,0,0
C000042,A0374,B038,2022-09-10,0,0
C000043,A0263,B051,2022-12-26,0,0
C000044,A0722,B036,2022-07-20,0,0
C000045,A0197,B046,2022-05-20,0,0
C000046,A0763,B048,2022-08-20,0,0
C000047,A0207,B015,2022-10-04,0,0
C000048,A0616,B024,2022-09-13,0,0
C000049,A0063,B032,2022-01-03,0,0
C000050,A0833,B055,2022-10-26,0,0
C000051,A0194,B002,2022-01-11,0,0
C000052,A0155,B040,2022-05-06,0,0
C000053,A0812,B036,2022-11-27,0,0
C000054,A0499,B018,2022-03-02,0,0
C000055,A0274,B028,2022-08-10,0,0
C000056,A0999,B021,2022-06-11,0,0
C000057,A0198,B022,2022-03-15,0,0
C000058,A0134,B054,2022-06-18,0,0
C000059,A0324,B020,2022-01-23,0,0
C000060,A0087,B001,2022-12-25,0,0
C000061,A0197,B018,2022-04-07,0,0
C000062,A0036,B038,2022-07-09,0,0
C000063,A0830,B039,2022-09-28,0,0
C000064,A0698,B018,2022-02-18,0,0
C000065,A0192,B046,2022-04-15,0,0
C000066,A0119,B015,2022-11-01,0,0
C000067,A0537,B015,2022-10-24,0,0
C000068,A0293,B048,2022-10-24,0,0
C000069,A0011,B013,2022-08-06,0,0
C000070,A0287,B003,2022-10-12,0,0
C000071,A0722,B056,2022-09-08,0,0
C000072,A0844,B024,2022-09-22,0,0
C000073,A0963,B022,2022-10-02,0,0
C000074,A0464,B035,2022-06-16,0,0
C000075,A0788,B022,2022-08-26,0,0
C000076,A0884,B022,2022-12-27,0,0
C000077,A0504,B031,2022-12-26,0,0
C000078,A0537,B055,2022-10-23,0,0
C000079,A0685,B051,2022-01-02,0,0
C000080,A0390,B017,2022-07-17,0,0
C000081,A0925,B006,2022-03-17,0,0
C000082,A0844,B017,2022-08-08,0,0
C000083,A0781,B040,2022-01-01,0,0
C000084,A0417,B036,2022-02-27,0,0
C000085,A0344,B017,2022-04-24,0,0
C000086,A0623,B048,2022-08-17,0,0
C000087,A0955,B002,2022-07-24,0,0
C000088,A0361,B017,2022-12-20,0,0
C000089,A0215,B006,2022-12-24,0,0
C000090,A0300,B017,2022-10-31,0,0
C000091,A0561,B044,2022-08-17,1,0
C000092,A0505,B007,2022-12-01,0,0
C000093,A0660,B026,2022-10-20,0,0
C000094,A0331,B005,2022-06-13,0,0
C000095,A0110,B041,2022-04-13,0,0
C000096,A0261,B031,2022-03-02,0,0
C000097,A0004,B013,2022-11-06,0,0
C000098,A0833,B032,2022-01-22,0,0
C000099,A0901,B017,2022-12-15,0,0
C000100,A0761,B027,2022-05-01,1,0
C000101,A0319,B018,2022-08-09,0,0
C000102,A0937,B018,2022-01-31,0,0
C000103,A0844,B018,2022-05-31,0,0
C000104,A0792,B037,2022-12-26,0,0
C000105,A0989,B034,2022-07-23,0,0
C000106,A0763,B042,2022-09-26,0,0
C000107,A0587,B024,2022-08-04,0,0
C000108,A0559,B001,2022-01-31,0,0
C000109,A0869,B039,2022-10-08,0,0
C000110,A0588,B017,2022-08-14,0,0
C000111,A0571,B037,2022-01-02,0,0
C000112,A0748,B056,2022-11-17,0,0
C000113,A0619,B057,2022-06-12,0,0
C000114,A0783,B054,2022-10-13,0,0
C000115,A0720,B018,2022-06-17,0,0
C000116,A0840,B021,2022-07-14,0,0
C000117,A0258,B046,2022-08-28,0,0
C000118,A0041,B035,2022-01-28,0,0
C000119,A0119,B058,2022-10-25,0,0
C000120,A0984,B032,2022-05-16,0,0
C000121,A0473,B021,2022-03-11,0,0
C000122,A0983,B045,2022-12-27,0,0
C000123,A0465,B004,2022-11-22,0,0
C000124,A0666,B037,2022-07-27,0,0
C000125,A0568,B025,2022-12-25,0,0
C000126,A0954,B002,2022-09-19,0,0
C000127,A0382,B018,2022-03-01,0,0
C000128,A0963,B036,2022-10-26,0,0
C000129,A0043,B020,2022-12-13,0,0
C000130,A0262,B008,2022-04-13,0,0
C000131,A0058,B038,2022-02-27,0,0
C000132,A0198,B026,2022-03-16,0,0
C000133,A0660,B039,2022-12-27,0,0
C000134,A0129,B002,2022-07-05,0,0
C000135,A0062,B037,2022-04-20,0,0
C000136,A0331,B020,2022-04-28,0,0
C000137,A0557,B039,2022-11-01,0,0
C000138,A0388,B019,2022-06-06,0,0
C000139,A0792,B039,2022-12-18,0,0
C000140,A0872,B022,2022-04-11,0,0
C000141,A0401,B021,2022-01-18,0,0
C000142,A0246,B052,2022-09-07,0,0
C000143,A0656,B051,2022-12-06,0,0
C000144,A0569,B001,2022-03-02,0,0
C000145,A0394,B040,2022-02-11,0,0
C000146,A0326,B025,2022-05-05,0,0
C000147,A0062,B027,2022-02-24,0,0
C000148,A0729,B033,2022-06-10,0,0
C000149,A0178,B006,2022-01-08,0,0
C000150,A0842,B001,2022-05-18,0,0
C000151,A0401,B043,2022-09-13,0,0
C000152,A0401,B005,2022-11-23,0,0
C000153,A0106,B023,2022-01-11,0,0
C000154,A0939,B051,2022-10-29,0,0
C000155,A0121,B051,2022-10-20,0,0
C000156,A0566,B002,2022-03-26,0,0
C000157,A0937,B018,2022-03-26,0,0
C000158,A0324,B060,2022-11-11,0,0
C000159,A0287,B027,2022-01-06,0,0
C000160,A0160,B023,2022-01-25,0,0
C000161,A0958,B057,2022-01-25,0,0
C000162,A0872,B019,2022-12-25,0,0
C000163,A0999,B008,2022-10-30,0,0
C000164,A0724,B007,2022-08-18,0,0
C000165,A0548,B035,2022-05-11,0,0
C000166,A0526,B056,2022-09-20,1,0
C000167,A0988,B053,2022-06-26,1,0
C000168,A0865,B056,2022-10-28,0,0
C000169,A0575,B001,2022-09-14,0,0
C000170,A0635,B022,2022-09-02,1,0
C000171,A0999,B036,2022-06-28,0,0
C000172,A0293,B035,2022-03-27,0,0
C000173,A0648,B025,2022-11-25,0,0
C000174,A0021,B051,2022-07-08,0,0
C000175,A0530,B055,2022-02-28,0,0
C000176,A0465,B033,2022-11-23,0,0
C000177,A0251,B021,2022-01-28,0,0
C000178,A0462,B005,2022-12-01,0,0
C000179,A0561,B031,2022-08-10,0,0
C000180,A0457,B039,2022-06-02,0,0
C000181,A0831,B051,2022-06-05,0,0
C000182,A0869,B039,2022-10-17,0,0
C000183,A0308,B046,2022-04-16,0,0
C000184,A0364,B005,2022-02-25,0,0
C000185,A0404,B022,2022-05-15,0,0
C000186,A0842,B008,2022-08-31,0,0
C000187,A0224,B002,2022-07-11,0,0
C000188,A0787,B020,2022-12-08,1,0
C000189,A0735,B018,2022-07-28,0,0
C000190,A0506,B026,2022-04-06,0,0
C000191,A0098,B038,2022-12-31,0,0
C000192,A0812,B021,2022-06-10,0,0
C000193,A0004,B022,2022-12-31,0,0
C000194,A0854,B056,2022-09-04,0,0
C000195,A0619,B058,2022-01-25,0,0
C000196,A0382,B023,2022-10-28,0,0
C000197,A0553,B031,2022-12-24,0,0
C000198,A0906,B048,2022-08-24,0,0
C000199,A0480,B048,2022-04-26,0,0
C000200,A0155,B014,2022-09-26,0,0
C000201,A0596,B022,2022-07-31,1,0
C000202,A0427,B031,2022-03-05,0,0
C000203,A0609,B009,2022-10-01,0,0
C000204,A0615,B032,2022-03-05,0,0
C000205,A0207,B032,2022-04-25,0,0
C000206,A0783,B057,2022-04-13,0,0
C000207,A0902,B058,2022-07-23,1,0
C000208,A0989,B036,2022-01-26,0,0
C000209,A0004,B023,2022-04-30,0,0
C000210,A0569,B046,2022-11-02,0,0
C000211,A0847,B008,2022-06-25,0,0
C000212,A0791,B039,2022-11-21,0,0
C000213,A0394,B057,2022-07-28,0,0
C000214,A0814,B026,2022-01-23,0,0
C000215,A0956,B040,2022-01-10,1,0
C000216,A0277,B011,2022-06-22,0,0
C000217,A0024,B017,2022-11-22,1,0
C000218,A0277,B057,2022-09-03,0,0
C000219,A0287,B004,2022-02-12,0,0
C000220,A0919,B027,2022-11-03,0,0
C000221,A0127,B015,2022-01-01,0,0
C000222,A0214,B018,2022-01-11,0,0
